순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
387,서해안고속도로,일반도로,기타,광로3류,폭40-50m,고속국도
388,서해안로,일반도로,국지도로,중로2류,폭15-20m,구도
389,선릉로,일반도로,국지도로,대로3류,폭25-30m,구도
390,선릉로189길,일반도로,국지도로,중로2류,폭15-20m,구도
391,선릉로4길,일반도로,국지도로,중로2류,폭15-20m,구도
392,선유로,일반도로,국지도로,중로2류,폭15-20m,구도
393,섬밭로,일반도로,국지도로,중로2류,폭15-20m,구도
394,성남대로,일반도로,국지도로,대로3류,폭25-30m,구도
395,성내로,일반도로,국지도로,중로2류,폭15-20m,구도
396,성내천로16길,일반도로,국지도로,중로2류,폭15-20m,구도
397,성내천로43라길,일반도로,국지도로,중로2류,폭15-20m,구도
398,성산~진관외선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
399,성산~홍제선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
400,성산로,일반도로,국지도로,중로1류,폭20-25m,구도
401,성수~자양선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
402,성수동1가선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
403,성수선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
404,성수일로,일반도로,국지도로,중로1류,폭20-25m,구도
405,성암로,일반도로,국지도로,중로2류,폭15-20m,구도
406,성현로,일반도로,국지도로,중로1류,폭20-25m,구도
407,세곡~상계선,일반도로,주간선도로,대로3류,폭25-30m,특별시도
408,세종대로,일반도로,국지도로,광로2류,폭50-70m,구도
409,세종대로5길,일반도로,국지도로,중로2류,폭15-20m,구도
410,소공로,일반도로,국지도로,중로1류,폭20-25m,구도
411,소파로,일반도로,국지도로,중로2류,폭15-20m,구도
412,송정~상봉선,일반도로,보조간선도로,중로3류,폭12-15m,특별시도
413,송파대로,일반도로,국지도로,대로3류,폭25-30m,구도
414,송파대로28길,일반도로,국지도로,중로2류,폭15-20m,구도
415,수도권제1순환고속도로,일반도로,기타,광로2류,폭50-70m,고속국도
416,수명로,일반도로,국지도로,중로2류,폭15-20m,구도
417,수색로,일반도로,국지도로,중로2류,폭15-20m,구도
418,수서~오금선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
419,수유~상계7선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
420,수유~상계선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
421,숭인로8길,일반도로,국지도로,중로1류,폭20-25m,구도
422,시흥~독산본선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
423,시흥~신림선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
424,시흥~중림선,일반도로,주간선도로,대로1류,폭35-40m,특별시도
425,시흥대로,일반도로,국지도로,대로3류,폭25-30m,구도
426,시흥대로73길,일반도로,국지도로,중로2류,폭15-20m,구도
427,시흥선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
428,신내로16길,일반도로,국지도로,중로1류,폭20-25m,구도
429,신내로19길,일반도로,국지도로,중로2류,폭15-20m,구도
430,신내역로,일반도로,국지도로,대로3류,폭25-30m,구도
